Byte,Hop Count ,Source ,,Destination ,,Type ,TTL Type ,Next Hop ,,Distance ,Battery, Neighbour ,Address 1,,N-Battery,Address 1,,RSSI,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery
43,5,0,15,0,1,2,98,0,5,1,188,10,0,4,255,0,8,255,0,12,250,0,13,253,0,3,252,0,7,253,0,5,253,0,11,253,0,1,252,0,14,252,0,0,0
46,5,0,8,0,1,2,98,0,5,1,187,11,0,12,255,0,13,255,0,3,248,0,7,253,0,5,252,0,6,253,0,1,253,0,2,253,0,9,252,0,14,253,0,15,253
22,5,0,11,0,1,2,98,0,5,1,188,3,0,1,255,0,15,255,0,4,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,0,16,0,1,2,97,0,5,2,188,4,0,13,255,0,7,255,0,10,250,0,2,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,0,15,0,1,2,98,0,5,1,183,10,0,4,255,0,8,255,0,12,249,0,3,252,0,13,253,0,7,252,0,11,252,0,5,253,0,1,252,0,14,252,0,0,0
46,5,0,3,0,1,2,98,0,5,1,183,11,0,13,255,0,7,255,0,5,249,0,6,252,0,1,253,0,2,252,0,9,253,0,14,252,0,15,252,0,8,253,0,12,253
46,5,0,13,0,1,2,98,0,5,1,183,11,0,7,255,0,6,255,0,1,249,0,2,253,0,16,252,0,9,253,0,14,252,0,15,252,0,8,253,0,3,253,0,12,253
40,5,0,2,0,1,2,97,0,5,2,183,9,0,16,255,0,9,255,0,14,248,0,8,253,0,3,253,0,13,253,0,7,252,0,6,252,0,10,253,0,0,0,0,0,0
46,5,0,3,0,1,2,98,0,5,1,180,11,0,13,255,0,7,255,0,5,250,0,6,253,0,1,252,0,2,253,0,9,253,0,14,253,0,15,252,0,8,253,0,12,253
43,6,0,1,0,1,2,100,0,6,0,255,10,0,14,255,0,15,255,0,8,249,0,12,252,0,3,253,0,13,252,0,7,253,0,5,253,0,11,252,0,4,253,0,0,0
46,6,0,3,0,1,2,98,0,6,1,177,11,0,13,255,0,7,255,0,5,250,0,6,253,0,1,253,0,2,253,0,9,252,0,14,253,0,8,252,0,15,253,0,12,253
22,6,0,11,0,1,2,98,0,6,1,178,3,0,1,255,0,15,255,0,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
